City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,christchurch,-43.5333,172.6333,18.11,55,40,7.2,NZ,1675915868
1,sistranda,63.7256,8.834,1.98,90,100,13.08,NO,1675916007
2,bethel,41.3712,-73.414,4.97,64,0,0.45,US,1675916007
3,nhulunbuy,-12.2333,136.7667,32.34,70,40,1.54,AU,1675916007
4,batemans bay,-35.7167,150.1833,20.05,90,100,3.07,AU,1675916008
5,hopelchen,19.7667,-89.85,24.1,71,4,2.93,MX,1675916009
6,hilo,19.7297,-155.09,22.85,83,75,4.12,US,1675916009
7,hobart,-42.8794,147.3294,21.82,56,75,5.66,AU,1675915947
8,iralaya,15.0,-83.2333,24.5,85,15,6.22,HN,1675916010
9,hofn,64.2539,-15.2082,-4.57,47,0,7.03,IS,1675916010
10,busselton,-33.65,115.3333,27.94,35,0,1.3,AU,1675916011
11,alibag,18.6411,72.8792,27.04,39,91,2.18,IN,1675915718
12,rikitea,-23.1203,-134.9692,26.75,73,4,6.4,PF,1675916011
13,mataura,-46.1927,168.8643,14.15,62,87,3.91,NZ,1675916012
14,qaanaaq,77.484,-69.3632,-31.69,64,14,2.71,GL,1675916012
15,diego de almagro,-26.3667,-70.05,20.1,49,0,0.99,CL,1675916013
16,quelimane,-17.8786,36.8883,23.71,95,82,1.15,MZ,1675916013
17,ushuaia,-54.8,-68.3,7.17,77,8,3.86,AR,1675916013
18,yellowknife,62.456,-114.3525,-21.36,83,77,4.02,CA,1675915803
19,ustynivka,47.9551,32.5367,-8.71,90,5,3.1,UA,1675916014
20,nadadores,27.05,-101.6,16.8,29,0,1.35,MX,1675915955
21,vila franca do campo,37.7167,-25.4333,12.23,73,96,3.91,PT,1675916014
22,mar del plata,-38.0023,-57.5575,19.97,91,0,0.89,AR,1675915951
23,pangnirtung,66.1451,-65.7125,-30.07,72,18,2.93,CA,1675916015
24,cravo norte,6.3017,-70.2041,26.29,58,10,2.6,CO,1675916015
25,iqaluit,63.7506,-68.5145,-25.83,90,100,6.6,CA,1675916016
26,ayan,56.45,138.1667,-23.8,59,61,1.36,RU,1675916016
27,kapaa,22.0752,-159.319,25.99,73,40,9.26,US,1675915955
28,khorixas,-20.3667,14.9667,19.13,63,94,1.63,NA,1675916017
29,faya,18.3851,42.4509,8.29,60,39,1.73,SA,1675916017
30,esso,55.9333,158.7,-13.78,93,100,1.24,RU,1675915946
31,kruisfontein,-34.0033,24.7314,17.16,80,95,1.07,ZA,1675916017
32,lebu,-37.6167,-73.65,14.75,95,5,4.59,CL,1675916018
33,brokopondo,4.75,-55.1667,23.54,92,97,3.19,SR,1675916018
34,zhigansk,66.7697,123.3711,-40.4,95,100,4.56,RU,1675916018
35,barrow,71.2906,-156.7887,-21.99,71,100,0.0,US,1675916019
36,jacmel,18.2342,-72.5347,25.91,71,0,1.77,HT,1675916019
37,jamestown,42.097,-79.2353,0.8,89,0,3.6,US,1675915726
38,alice town,25.7167,-79.3,23.69,69,2,8.96,BS,1675916019
39,katsuura,35.1333,140.3,8.76,38,79,4.33,JP,1675916020
40,alihe,50.5667,123.7167,-10.93,63,99,1.51,CN,1675916020
41,bengkulu,-3.8004,102.2655,28.52,63,96,2.2,ID,1675916020
42,olinda,-8.0089,-34.8553,25.85,78,40,1.54,BR,1675916021
43,albany,42.6001,-73.9662,0.33,80,81,1.23,US,1675916021
44,vaini,-21.2,-175.2,27.09,89,75,4.63,TO,1675916021
45,chokurdakh,70.6333,147.9167,-31.94,96,100,2.44,RU,1675916022
46,bluff,-46.6,168.3333,14.33,56,77,8.33,NZ,1675916022
47,demak,-6.8909,110.6396,29.98,74,95,3.97,ID,1675916022
48,buala,-8.145,159.5921,28.56,75,97,2.1,SB,1675916023
49,havoysund,70.9963,24.6622,2.13,79,100,10.58,NO,1675916023
50,tasiilaq,65.6145,-37.6368,-14.91,54,96,4.36,GL,1675916023
51,ponta do sol,32.6667,-17.1,14.28,73,44,3.04,PT,1675916024
52,pevek,69.7008,170.3133,-34.47,100,100,3.05,RU,1675916024
53,the valley,18.217,-63.0578,25.05,74,35,10.75,AI,1675915757
54,luderitz,-26.6481,15.1594,16.97,96,67,4.5,NA,1675916024
55,cherskiy,68.75,161.3,-35.19,98,100,3.2,RU,1675916025
56,punta arenas,-53.15,-70.9167,10.06,66,0,5.66,CL,1675916025
57,ahipara,-35.1667,173.1667,20.85,56,27,4.47,NZ,1675916026
58,kodiak,57.79,-152.4072,-6.27,45,0,2.57,US,1675916026
59,nikolskoye,59.7035,30.7861,1.94,93,100,4.63,RU,1675916026
60,lorengau,-2.0226,147.2712,28.72,67,100,4.53,PG,1675916027
61,coahuayana,18.7333,-103.6833,21.34,91,3,1.35,MX,1675916027
62,thompson,55.7435,-97.8558,-19.27,96,41,2.66,CA,1675915768
63,souillac,-20.5167,57.5167,28.21,74,75,7.2,MU,1675916027
64,lagoa,39.05,-27.9833,13.59,73,100,5.57,PT,1675916028
65,gannan,47.9147,123.5031,-12.07,77,98,3.48,CN,1675916028
66,kostomuksha,64.571,30.5767,0.78,86,100,10.08,RU,1675916029
